index,x,y
truck3,338.57581338244324,42.230383973288816
truck5,444,112.5
truck13,102.50460405156538,208.35726210350586
truck17,310.62001227747083,222.02003338898166
truck19,431.1405770411296,207.11519198664442
truck21,438.59545733578886,147.80634390651085
truck25,23.607120933087785,338.1535893155259
truck27,173.94720687538367,340.3272120200334
truck28,224.88888888888889,335.97996661101837
truck30,332.05279312461636,352.12687813021705
truck35,288.8766114180479,385.35225375626044
truck37,209.35788827501537,398.3939899833055
truck38,112.44444444444444,397.7729549248748
truck41,217.4340085942296,477.8864774624374
truck50,60.881522406384285,535.9532554257096
truck54,320.5598526703499,273.5659432387312
truck44,315.5899324739104,295.92320534223705
truck47,296.3314917127072,323.559265442404
